Dataset ID,Band Name,Spatiotemporal Aggregation Function,Pixel Value Transform,Notes,GEE link,Description,Historical Range,Seasonal Range,Spatial Range,Valid Years
ECMWF/ERA5/MONTHLY,dewpoint_2m_temperature,"years_mean(-2, 0; julian_max(1, 365))",,,https://developers.google.com/earth-engine/datasets/catalog/ECMWF_ERA5_MONTHLY,dewpoint annual maximum,10 years prior,1-365,0,
ECMWF/ERA5/MONTHLY,maximum_2m_air_temperature,"years_mean(-2, 0; julian_max(1, 365))",,,https://developers.google.com/earth-engine/datasets/catalog/ECMWF_ERA5_MONTHLY,max temp annual maximum,10 years prior,1-365,0,
ECMWF/ERA5/MONTHLY,mean_2m_air_temperature,"years_mean(-2, 0; julian_max(1, 365))",,,https://developers.google.com/earth-engine/datasets/catalog/ECMWF_ERA5_MONTHLY,mean temp annual maximum,10 years prior,1-365,0,
ECMWF/ERA5/MONTHLY,minimum_2m_air_temperature,"years_mean(-2, 0; julian_max(1, 365))",,,https://developers.google.com/earth-engine/datasets/catalog/ECMWF_ERA5_MONTHLY,min temp annual maximum,10 years prior,1-365,0,
ECMWF/ERA5/MONTHLY,total_precipitation,"years_mean(-2, 0; julian_max(1, 365))",,,https://developers.google.com/earth-engine/datasets/catalog/ECMWF_ERA5_MONTHLY,precip annual maximum,10 years prior,1-365,0,
ECMWF/ERA5/MONTHLY,dewpoint_2m_temperature,"years_mean(-2, 0; julian_max(121, 273))",,,https://developers.google.com/earth-engine/datasets/catalog/ECMWF_ERA5_MONTHLY,dewpoint may-sept average,10 years prior,121-273,0,
ECMWF/ERA5/MONTHLY,maximum_2m_air_temperature,"years_mean(-2, 0; julian_max(121, 273))",,,https://developers.google.com/earth-engine/datasets/catalog/ECMWF_ERA5_MONTHLY,max temp may-sept average,10 years prior,121-273,0,
ECMWF/ERA5/MONTHLY,mean_2m_air_temperature,"years_mean(-2, 0; julian_max(121, 273))",,,https://developers.google.com/earth-engine/datasets/catalog/ECMWF_ERA5_MONTHLY,mean temp may-sept average,10 years prior,121-273,0,
ECMWF/ERA5/MONTHLY,minimum_2m_air_temperature,"years_mean(-2, 0; julian_max(121, 273))",,,https://developers.google.com/earth-engine/datasets/catalog/ECMWF_ERA5_MONTHLY,min temp may-sept average,10 years prior,121-273,0,
ECMWF/ERA5/MONTHLY,total_precipitation,"years_mean(-2, 0; julian_max(121, 273))",,,https://developers.google.com/earth-engine/datasets/catalog/ECMWF_ERA5_MONTHLY,precip may-sept average,10 years prior,121-273,0,
ECMWF/ERA5/MONTHLY,dewpoint_2m_temperature,"years_mean(-2, 0; julian_mean(1, 365))",,,https://developers.google.com/earth-engine/datasets/catalog/ECMWF_ERA5_MONTHLY,dewpoint annual minimum,10 years prior,1-365,0,
ECMWF/ERA5/MONTHLY,maximum_2m_air_temperature,"years_mean(-2, 0; julian_mean(1, 365))",,,https://developers.google.com/earth-engine/datasets/catalog/ECMWF_ERA5_MONTHLY,max temp annual minimum,10 years prior,1-365,0,
ECMWF/ERA5/MONTHLY,mean_2m_air_temperature,"years_mean(-2, 0; julian_mean(1, 365))",,,https://developers.google.com/earth-engine/datasets/catalog/ECMWF_ERA5_MONTHLY,mean temp annual minimum,10 years prior,1-365,0,
ECMWF/ERA5/MONTHLY,minimum_2m_air_temperature,"years_mean(-2, 0; julian_mean(1, 365))",,,https://developers.google.com/earth-engine/datasets/catalog/ECMWF_ERA5_MONTHLY,min temp annual minimum,10 years prior,1-365,0,
ECMWF/ERA5/MONTHLY,total_precipitation,"years_mean(-2, 0; julian_mean(1, 365))",,,https://developers.google.com/earth-engine/datasets/catalog/ECMWF_ERA5_MONTHLY,precip annual minimum,10 years prior,1-365,0,
ECMWF/ERA5/MONTHLY,dewpoint_2m_temperature,"years_mean(-2, 0; julian_mean(121, 273))",,,https://developers.google.com/earth-engine/datasets/catalog/ECMWF_ERA5_MONTHLY,dewpoint may-sept average,10 years prior,121-273,0,
ECMWF/ERA5/MONTHLY,maximum_2m_air_temperature,"years_mean(-2, 0; julian_mean(121, 273))",,,https://developers.google.com/earth-engine/datasets/catalog/ECMWF_ERA5_MONTHLY,max temp may-sept average,10 years prior,121-273,0,
ECMWF/ERA5/MONTHLY,mean_2m_air_temperature,"years_mean(-2, 0; julian_mean(121, 273))",,,https://developers.google.com/earth-engine/datasets/catalog/ECMWF_ERA5_MONTHLY,mean temp may-sept average,10 years prior,121-273,0,
ECMWF/ERA5/MONTHLY,minimum_2m_air_temperature,"years_mean(-2, 0; julian_mean(121, 273))",,,https://developers.google.com/earth-engine/datasets/catalog/ECMWF_ERA5_MONTHLY,min temp may-sept average,10 years prior,121-273,0,
ECMWF/ERA5/MONTHLY,total_precipitation,"years_mean(-2, 0; julian_mean(121, 273))",,,https://developers.google.com/earth-engine/datasets/catalog/ECMWF_ERA5_MONTHLY,precip may-sept average,10 years prior,121-273,0,
ECMWF/ERA5/MONTHLY,dewpoint_2m_temperature,"years_mean(-2, 0; julian_min(1, 365))",,,https://developers.google.com/earth-engine/datasets/catalog/ECMWF_ERA5_MONTHLY,dewpoint annual minimum,10 years prior,1-365,0,
ECMWF/ERA5/MONTHLY,maximum_2m_air_temperature,"years_mean(-2, 0; julian_min(1, 365))",,,https://developers.google.com/earth-engine/datasets/catalog/ECMWF_ERA5_MONTHLY,max temp annual minimum,10 years prior,1-365,0,
ECMWF/ERA5/MONTHLY,mean_2m_air_temperature,"years_mean(-2, 0; julian_min(1, 365))",,,https://developers.google.com/earth-engine/datasets/catalog/ECMWF_ERA5_MONTHLY,mean temp annual minimum,10 years prior,1-365,0,
ECMWF/ERA5/MONTHLY,minimum_2m_air_temperature,"years_mean(-2, 0; julian_min(1, 365))",,,https://developers.google.com/earth-engine/datasets/catalog/ECMWF_ERA5_MONTHLY,min temp annual averages of the min temperature (over the whole year) from 10 years prior to study date ,10 years prior,1-365,0,
ECMWF/ERA5/MONTHLY,total_precipitation,"years_mean(-2, 0; julian_min(1, 365))",,,https://developers.google.com/earth-engine/datasets/catalog/ECMWF_ERA5_MONTHLY,precip annual minimum,10 years prior,1-365,0,
ECMWF/ERA5/MONTHLY,dewpoint_2m_temperature,"years_mean(-2, 0; julian_min(121, 273))",,,https://developers.google.com/earth-engine/datasets/catalog/ECMWF_ERA5_MONTHLY,dewpoint may-sept minimum,10 years prior,121-273,0,
ECMWF/ERA5/MONTHLY,maximum_2m_air_temperature,"years_mean(-2, 0; julian_min(121, 273))",,,https://developers.google.com/earth-engine/datasets/catalog/ECMWF_ERA5_MONTHLY,max temp may-sept minimum,10 years prior,121-273,0,
ECMWF/ERA5/MONTHLY,mean_2m_air_temperature,"years_mean(-2, 0; julian_min(121, 273))",,,https://developers.google.com/earth-engine/datasets/catalog/ECMWF_ERA5_MONTHLY,mean temp may-sept minimum,10 years prior,121-273,0,
ECMWF/ERA5/MONTHLY,minimum_2m_air_temperature,"years_mean(-2, 0; julian_min(121, 273))",,,https://developers.google.com/earth-engine/datasets/catalog/ECMWF_ERA5_MONTHLY,min temp may-sept minimum,10 years prior,121-273,0,
ECMWF/ERA5/MONTHLY,total_precipitation,"years_mean(-2, 0; julian_min(121, 273))",,,https://developers.google.com/earth-engine/datasets/catalog/ECMWF_ERA5_MONTHLY,precip may-sept minimum,10 years prior,121-273,0,
ECMWF/ERA5/MONTHLY,dewpoint_2m_temperature,"years_mean(-5, 0; julian_max(1, 365))",,,https://developers.google.com/earth-engine/datasets/catalog/ECMWF_ERA5_MONTHLY,dewpoint annual maximum,30 years prior,1-365,0,
ECMWF/ERA5/MONTHLY,maximum_2m_air_temperature,"years_mean(-5, 0; julian_max(1, 365))",,,https://developers.google.com/earth-engine/datasets/catalog/ECMWF_ERA5_MONTHLY,max temp annual maximum,30 years prior,1-365,0,
ECMWF/ERA5/MONTHLY,mean_2m_air_temperature,"years_mean(-5, 0; julian_max(1, 365))",,,https://developers.google.com/earth-engine/datasets/catalog/ECMWF_ERA5_MONTHLY,mean temp annual maximum,30 years prior,1-365,0,
ECMWF/ERA5/MONTHLY,minimum_2m_air_temperature,"years_mean(-5, 0; julian_max(1, 365))",,,https://developers.google.com/earth-engine/datasets/catalog/ECMWF_ERA5_MONTHLY,min temp annual maximum,30 years prior,1-365,0,
ECMWF/ERA5/MONTHLY,total_precipitation,"years_mean(-5, 0; julian_max(1, 365))",,,https://developers.google.com/earth-engine/datasets/catalog/ECMWF_ERA5_MONTHLY,precip annual maximum,30 years prior,1-365,0,
ECMWF/ERA5/MONTHLY,dewpoint_2m_temperature,"years_mean(-5, 0; julian_max(121, 273))",,,https://developers.google.com/earth-engine/datasets/catalog/ECMWF_ERA5_MONTHLY,dewpoint may-sept maximum,30 years prior,121-273,0,
ECMWF/ERA5/MONTHLY,maximum_2m_air_temperature,"years_mean(-5, 0; julian_max(121, 273))",,,https://developers.google.com/earth-engine/datasets/catalog/ECMWF_ERA5_MONTHLY,max temp may-sept maximum,30 years prior,121-273,0,
ECMWF/ERA5/MONTHLY,mean_2m_air_temperature,"years_mean(-5, 0; julian_max(121, 273))",,,https://developers.google.com/earth-engine/datasets/catalog/ECMWF_ERA5_MONTHLY,mean temp may-sept maximum,30 years prior,121-273,0,
ECMWF/ERA5/MONTHLY,minimum_2m_air_temperature,"years_mean(-5, 0; julian_max(121, 273))",,,https://developers.google.com/earth-engine/datasets/catalog/ECMWF_ERA5_MONTHLY,min temp may-sept maximum,30 years prior,121-273,0,
ECMWF/ERA5/MONTHLY,total_precipitation,"years_mean(-5, 0; julian_max(121, 273))",,,https://developers.google.com/earth-engine/datasets/catalog/ECMWF_ERA5_MONTHLY,precip may-sept maximum,30 years prior,121-273,0,
ECMWF/ERA5/MONTHLY,dewpoint_2m_temperature,"years_mean(-5, 0; julian_mean(1, 365))",,,https://developers.google.com/earth-engine/datasets/catalog/ECMWF_ERA5_MONTHLY,dewpoint annual average,30 years prior,1-365,0,
ECMWF/ERA5/MONTHLY,maximum_2m_air_temperature,"years_mean(-5, 0; julian_mean(1, 365))",,,https://developers.google.com/earth-engine/datasets/catalog/ECMWF_ERA5_MONTHLY,max temp annual average,30 years prior,1-365,0,
ECMWF/ERA5/MONTHLY,mean_2m_air_temperature,"years_mean(-5, 0; julian_mean(1, 365))",,,https://developers.google.com/earth-engine/datasets/catalog/ECMWF_ERA5_MONTHLY,mean temp annual average,30 years prior,1-365,0,
ECMWF/ERA5/MONTHLY,minimum_2m_air_temperature,"years_mean(-5, 0; julian_mean(1, 365))",,,https://developers.google.com/earth-engine/datasets/catalog/ECMWF_ERA5_MONTHLY,min temp annual average,30 years prior,1-365,0,
ECMWF/ERA5/MONTHLY,total_precipitation,"years_mean(-5, 0; julian_mean(1, 365))",,,https://developers.google.com/earth-engine/datasets/catalog/ECMWF_ERA5_MONTHLY,precip annual average,30 years prior,1-365,0,
ECMWF/ERA5/MONTHLY,dewpoint_2m_temperature,"years_mean(-5, 0; julian_mean(121, 273))",,,https://developers.google.com/earth-engine/datasets/catalog/ECMWF_ERA5_MONTHLY,dewpoint may-sept average,30 years prior,121-273,0,
ECMWF/ERA5/MONTHLY,maximum_2m_air_temperature,"years_mean(-5, 0; julian_mean(121, 273))",,,https://developers.google.com/earth-engine/datasets/catalog/ECMWF_ERA5_MONTHLY,max temp may-sept average,30 years prior,121-273,0,
ECMWF/ERA5/MONTHLY,mean_2m_air_temperature,"years_mean(-5, 0; julian_mean(121, 273))",,,https://developers.google.com/earth-engine/datasets/catalog/ECMWF_ERA5_MONTHLY,mean temp may-sept average,30 years prior,121-273,0,
ECMWF/ERA5/MONTHLY,minimum_2m_air_temperature,"years_mean(-5, 0; julian_mean(121, 273))",,,https://developers.google.com/earth-engine/datasets/catalog/ECMWF_ERA5_MONTHLY,min temp may-sept average,30 years prior,121-273,0,
ECMWF/ERA5/MONTHLY,total_precipitation,"years_mean(-5, 0; julian_mean(121, 273))",,,https://developers.google.com/earth-engine/datasets/catalog/ECMWF_ERA5_MONTHLY,precip may-sept average,30 years prior,121-273,0,
ECMWF/ERA5/MONTHLY,dewpoint_2m_temperature,"years_mean(-5, 0; julian_min(1, 365))",,,https://developers.google.com/earth-engine/datasets/catalog/ECMWF_ERA5_MONTHLY,dewpoint annual minimum,30 years prior,1-365,0,
ECMWF/ERA5/MONTHLY,maximum_2m_air_temperature,"years_mean(-5, 0; julian_min(1, 365))",,,https://developers.google.com/earth-engine/datasets/catalog/ECMWF_ERA5_MONTHLY,max temp annual minimum,30 years prior,1-365,0,
ECMWF/ERA5/MONTHLY,mean_2m_air_temperature,"years_mean(-5, 0; julian_min(1, 365))",,,https://developers.google.com/earth-engine/datasets/catalog/ECMWF_ERA5_MONTHLY,mean temp annual minimum,30 years prior,1-365,0,
ECMWF/ERA5/MONTHLY,minimum_2m_air_temperature,"years_mean(-5, 0; julian_min(1, 365))",,,https://developers.google.com/earth-engine/datasets/catalog/ECMWF_ERA5_MONTHLY,min temp annual averages of the min temperature (over the whole year) from 10 years prior to study date ,30 years prior,1-365,0,
ECMWF/ERA5/MONTHLY,total_precipitation,"years_mean(-5, 0; julian_min(1, 365))",,,https://developers.google.com/earth-engine/datasets/catalog/ECMWF_ERA5_MONTHLY,precip annual minimum,30 years prior,1-365,0,
ECMWF/ERA5/MONTHLY,dewpoint_2m_temperature,"years_mean(-5, 0; julian_min(121, 273))",,,https://developers.google.com/earth-engine/datasets/catalog/ECMWF_ERA5_MONTHLY,dewpoint may-sept minimum,30 years prior,121-273,0,
ECMWF/ERA5/MONTHLY,maximum_2m_air_temperature,"years_mean(-5, 0; julian_min(121, 273))",,,https://developers.google.com/earth-engine/datasets/catalog/ECMWF_ERA5_MONTHLY,max temp may-sept minimum,30 years prior,121-273,0,
ECMWF/ERA5/MONTHLY,mean_2m_air_temperature,"years_mean(-5, 0; julian_min(121, 273))",,,https://developers.google.com/earth-engine/datasets/catalog/ECMWF_ERA5_MONTHLY,mean temp may-sept minimum,30 years prior,121-273,0,
ECMWF/ERA5/MONTHLY,minimum_2m_air_temperature,"years_mean(-5, 0; julian_min(121, 273))",,,https://developers.google.com/earth-engine/datasets/catalog/ECMWF_ERA5_MONTHLY,min temp may-sept minimum,30 years prior,121-273,0,
ECMWF/ERA5/MONTHLY,total_precipitation,"years_mean(-5, 0; julian_min(121, 273))",,,https://developers.google.com/earth-engine/datasets/catalog/ECMWF_ERA5_MONTHLY,precip may-sept minimum,30 years prior,121-273,0,