Dataset ID,Band ID,Spatiotemporal Aggregation Function,Pixel Value Transform,Notes,GEE link,Description,Historical Range,Seasonal Range,Spatial Range,Valid Years
COPERNICUS/Landcover/100m/Proba-V-C3/Global,crops-coverfraction,spatial_mean(0),,,https://developers.google.com/earth-engine/datasets/catalog/COPERNICUS_Landcover_100m_Proba-V-C3_Global,Proportion of cropland,0 years prior,year,0,[2015]
COPERNICUS/Landcover/100m/Proba-V-C3/Global,crops-coverfraction,spatial_mean(1000),,,https://developers.google.com/earth-engine/datasets/catalog/COPERNICUS_Landcover_100m_Proba-V-C3_Global,Proportion of cropland,0 years prior,year,1000,[2015]
COPERNICUS/Landcover/100m/Proba-V-C3/Global,crops-coverfraction,spatial_mean(10000),,,https://developers.google.com/earth-engine/datasets/catalog/COPERNICUS_Landcover_100m_Proba-V-C3_Global,Proportion of cropland,0 years prior,year,10000,[2015]
MODIS/061/MCD12Q1,LC_Type2,spatial_mean(0),"mask[12,14]","May want a separate column on whether to use this as a landcover mask for other variables. Could have something like ""set mask(name: landcover)"" and  ""use_mask(landcover)"" or something like that. But I would suggest dealing with this in a second round",https://developers.google.com/earth-engine/datasets/catalog/MODIS_061_MCD12Q1#bands,Classification bands,0 years prior,year,0,[2001-2021]
MODIS/061/MCD12Q1,LC_Type2,spatial_mean(1000),"mask[12,14]",,https://developers.google.com/earth-engine/datasets/catalog/MODIS_061_MCD12Q1#bands,Classification bands,0 years prior,year,1000,[2001-2021]
MODIS/061/MCD12Q1,LC_Type2,spatial_mean(10000),"mask[12,14]",,https://developers.google.com/earth-engine/datasets/catalog/MODIS_061_MCD12Q1#bands,Classification bands,0 years prior,year,10000,[2001-2021]
CSP/ERGo/1_0/Global/SRTM_topoDiversity,constant,spatial_mean(1000),,,https://developers.google.com/earth-engine/datasets/catalog/CSP_ERGo_1_0_Global_SRTM_topoDiversity#bands,Measure of diversity,0 years prior,year,1000,
CSP/ERGo/1_0/Global/SRTM_topoDiversity,constant,spatial_mean(10000),,,https://developers.google.com/earth-engine/datasets/catalog/CSP_ERGo_1_0_Global_SRTM_topoDiversity#bands,Measure of diversity,0 years prior,year,10000,
CSP/ERGo/1_0/Global/SRTM_topoDiversity,constant,spatial_sd(1000),,,https://developers.google.com/earth-engine/datasets/catalog/CSP_ERGo_1_0_Global_SRTM_topoDiversity#bands,Measure of diversity,0 years prior,year,1000,
CSP/ERGo/1_0/Global/SRTM_topoDiversity,constant,spatial_sd(10000),,,https://developers.google.com/earth-engine/datasets/catalog/CSP_ERGo_1_0_Global_SRTM_topoDiversity#bands,Measure of diversity,0 years prior,year,10000,
ECMWF/ERA5/MONTHLY,dewpoint_2m_temperature," julian_mean(1, 365)",,,https://developers.google.com/earth-engine/datasets/catalog/ECMWF_ERA5_MONTHLY,dewpoint annual average,0 years prior,1-365,0,
ECMWF/ERA5/MONTHLY,dewpoint_2m_temperature,"years_mean(-30, 0; julian_mean(1, 365))",,,https://developers.google.com/earth-engine/datasets/catalog/ECMWF_ERA5_MONTHLY,dewpoint annual average,30 years prior,1-365,0,
ECMWF/ERA5/MONTHLY,dewpoint_2m_temperature,"julian_mean(1, 365)",,,https://developers.google.com/earth-engine/datasets/catalog/ECMWF_ERA5_MONTHLY,dewpoint annual average ,0 years prior,1-365,0,
ECMWF/ERA5/MONTHLY,dewpoint_2m_temperature," julian_max(1, 365)",,,https://developers.google.com/earth-engine/datasets/catalog/ECMWF_ERA5_MONTHLY,dewpoint annual maximum,0 years prior,1-365,0,
ECMWF/ERA5/MONTHLY,dewpoint_2m_temperature,"julian_max(1, 365)",,,https://developers.google.com/earth-engine/datasets/catalog/ECMWF_ERA5_MONTHLY,dewpoint annual maximum,0 years prior,1-365,0,
ECMWF/ERA5/MONTHLY,dewpoint_2m_temperature,"years_mean(-10, 0; julian_max(1, 365))",,,https://developers.google.com/earth-engine/datasets/catalog/ECMWF_ERA5_MONTHLY,dewpoint annual maximum,10 years prior,1-365,0,
ECMWF/ERA5/MONTHLY,dewpoint_2m_temperature,"years_mean(-30, 0; julian_max(1, 365))",,,https://developers.google.com/earth-engine/datasets/catalog/ECMWF_ERA5_MONTHLY,dewpoint annual maximum,30 years prior,1-365,0,
ECMWF/ERA5/MONTHLY,dewpoint_2m_temperature,"julian_min(1, 365)",,"Took out the spatial mean because the resolution of the dataset is 30 km, so a spatial mean of 100 m is essentially a spatial mean of 0 (on pixel)",https://developers.google.com/earth-engine/datasets/catalog/ECMWF_ERA5_MONTHLY,dewpoint annual minimum,0 years prior,1-365,0,
ECMWF/ERA5/MONTHLY,dewpoint_2m_temperature,"years_mean(-10, 0; julian_mean(1, 365))",,,https://developers.google.com/earth-engine/datasets/catalog/ECMWF_ERA5_MONTHLY,dewpoint annual minimum,10 years prior,1-365,0,
ECMWF/ERA5/MONTHLY,dewpoint_2m_temperature,"years_mean(-10, 0; julian_min(1, 365))",,,https://developers.google.com/earth-engine/datasets/catalog/ECMWF_ERA5_MONTHLY,dewpoint annual minimum,10 years prior,1-365,0,
ECMWF/ERA5/MONTHLY,dewpoint_2m_temperature,"years_mean(-30, 0; julian_min(1, 365))",,,https://developers.google.com/earth-engine/datasets/catalog/ECMWF_ERA5_MONTHLY,dewpoint annual minimum,30 years prior,1-365,0,
ECMWF/ERA5/MONTHLY,dewpoint_2m_temperature,"julian_min(1, 365)",,,https://developers.google.com/earth-engine/datasets/catalog/ECMWF_ERA5_MONTHLY,dewpoint annual minimum ,0 years prior,1-365,0,
ECMWF/ERA5/MONTHLY,dewpoint_2m_temperature," julian_mean(121, 273)",,,https://developers.google.com/earth-engine/datasets/catalog/ECMWF_ERA5_MONTHLY,dewpoint may-sept average,0 years prior,121-273,0,
ECMWF/ERA5/MONTHLY,dewpoint_2m_temperature,"julian_mean(121, 273)",,,https://developers.google.com/earth-engine/datasets/catalog/ECMWF_ERA5_MONTHLY,dewpoint may-sept average,0 years prior,121-273,0,
ECMWF/ERA5/MONTHLY,dewpoint_2m_temperature,"years_mean(-10, 0; julian_max(121, 273))",,,https://developers.google.com/earth-engine/datasets/catalog/ECMWF_ERA5_MONTHLY,dewpoint may-sept average,10 years prior,121-273,0,
ECMWF/ERA5/MONTHLY,dewpoint_2m_temperature,"years_mean(-10, 0; julian_mean(121, 273))",,,https://developers.google.com/earth-engine/datasets/catalog/ECMWF_ERA5_MONTHLY,dewpoint may-sept average,10 years prior,121-273,0,
ECMWF/ERA5/MONTHLY,dewpoint_2m_temperature,"years_mean(-30, 0; julian_mean(121, 273))",,,https://developers.google.com/earth-engine/datasets/catalog/ECMWF_ERA5_MONTHLY,dewpoint may-sept average,30 years prior,121-273,0,
ECMWF/ERA5/MONTHLY,dewpoint_2m_temperature," julian_max(121, 273)",,,https://developers.google.com/earth-engine/datasets/catalog/ECMWF_ERA5_MONTHLY,dewpoint may-sept maximum,0 years prior,121-273,0,
ECMWF/ERA5/MONTHLY,dewpoint_2m_temperature,"julian_max(121, 273)",,,https://developers.google.com/earth-engine/datasets/catalog/ECMWF_ERA5_MONTHLY,dewpoint may-sept maximum,0 years prior,121-273,0,
ECMWF/ERA5/MONTHLY,dewpoint_2m_temperature,"years_mean(-30, 0; julian_max(121, 273))",,,https://developers.google.com/earth-engine/datasets/catalog/ECMWF_ERA5_MONTHLY,dewpoint may-sept maximum,30 years prior,121-273,0,
ECMWF/ERA5/MONTHLY,dewpoint_2m_temperature," julian_min(121, 273)",,,https://developers.google.com/earth-engine/datasets/catalog/ECMWF_ERA5_MONTHLY,dewpoint may-sept minimum,0 years prior,121-273,0,
ECMWF/ERA5/MONTHLY,dewpoint_2m_temperature,"years_mean(-10, 0; julian_min(121, 273))",,,https://developers.google.com/earth-engine/datasets/catalog/ECMWF_ERA5_MONTHLY,dewpoint may-sept minimum,10 years prior,121-273,0,
ECMWF/ERA5/MONTHLY,dewpoint_2m_temperature,"years_mean(-30, 0; julian_min(121, 273))",,,https://developers.google.com/earth-engine/datasets/catalog/ECMWF_ERA5_MONTHLY,dewpoint may-sept minimum,30 years prior,121-273,0,
ECMWF/ERA5/MONTHLY,dewpoint_2m_temperature,"julian_min(121, 273)",,,https://developers.google.com/earth-engine/datasets/catalog/ECMWF_ERA5_MONTHLY,dewpoint may-sept minumum,0 years prior,121-273,0,
ECMWF/ERA5/MONTHLY,maximum_2m_air_temperature,"julian_mean(1, 365)",,,https://developers.google.com/earth-engine/datasets/catalog/ECMWF_ERA5_MONTHLY,max temp annual average,0 years prior,1-365,0,
ECMWF/ERA5/MONTHLY,maximum_2m_air_temperature,"years_mean(-30, 0; julian_mean(1, 365))",,,https://developers.google.com/earth-engine/datasets/catalog/ECMWF_ERA5_MONTHLY,max temp annual average,30 years prior,1-365,0,
ECMWF/ERA5/MONTHLY,maximum_2m_air_temperature," julian_max(1, 365)",,,https://developers.google.com/earth-engine/datasets/catalog/ECMWF_ERA5_MONTHLY,max temp annual maximum,0 years prior,1-365,0,
ECMWF/ERA5/MONTHLY,maximum_2m_air_temperature,"julian_max(1, 365)",,,https://developers.google.com/earth-engine/datasets/catalog/ECMWF_ERA5_MONTHLY,max temp annual maximum,0 years prior,1-365,0,
ECMWF/ERA5/MONTHLY,maximum_2m_air_temperature,"years_mean(-10, 0; julian_max(1, 365))",col a,,https://developers.google.com/earth-engine/datasets/catalog/ECMWF_ERA5_MONTHLY,max temp annual maximum,10 years prior,1-365,0,
ECMWF/ERA5/MONTHLY,maximum_2m_air_temperature,"years_mean(-30, 0; julian_max(1, 365))",,,https://developers.google.com/earth-engine/datasets/catalog/ECMWF_ERA5_MONTHLY,max temp annual maximum,30 years prior,1-365,0,
ECMWF/ERA5/MONTHLY,maximum_2m_air_temperature," julian_mean(1, 365)",,,https://developers.google.com/earth-engine/datasets/catalog/ECMWF_ERA5_MONTHLY,max temp annual minimum,0 years prior,1-365,0,
ECMWF/ERA5/MONTHLY,maximum_2m_air_temperature," julian_min(1, 365)",,,https://developers.google.com/earth-engine/datasets/catalog/ECMWF_ERA5_MONTHLY,max temp annual minimum,0 years prior,1-365,0,
ECMWF/ERA5/MONTHLY,maximum_2m_air_temperature,"years_mean(-10, 0; julian_mean(1, 365))",,,https://developers.google.com/earth-engine/datasets/catalog/ECMWF_ERA5_MONTHLY,max temp annual minimum,10 years prior,1-365,0,
ECMWF/ERA5/MONTHLY,maximum_2m_air_temperature,"years_mean(-10, 0; julian_min(1, 365))",,,https://developers.google.com/earth-engine/datasets/catalog/ECMWF_ERA5_MONTHLY,max temp annual minimum,10 years prior,1-365,0,
ECMWF/ERA5/MONTHLY,maximum_2m_air_temperature,"years_mean(-30, 0; julian_min(1, 365))",,,https://developers.google.com/earth-engine/datasets/catalog/ECMWF_ERA5_MONTHLY,max temp annual minimum,30 years prior,1-365,0,
ECMWF/ERA5/MONTHLY,maximum_2m_air_temperature,"julian_min(1, 365)",,,https://developers.google.com/earth-engine/datasets/catalog/ECMWF_ERA5_MONTHLY,max temp annual minimum ,0 years prior,1-365,0,
ECMWF/ERA5/MONTHLY,maximum_2m_air_temperature," julian_mean(121, 273)",,,https://developers.google.com/earth-engine/datasets/catalog/ECMWF_ERA5_MONTHLY,max temp may-sept average,0 years prior,121-273,0,
ECMWF/ERA5/MONTHLY,maximum_2m_air_temperature,"julian_mean(121, 273)",,,https://developers.google.com/earth-engine/datasets/catalog/ECMWF_ERA5_MONTHLY,max temp may-sept average,0 years prior,121-273,0,
ECMWF/ERA5/MONTHLY,maximum_2m_air_temperature,"years_mean(-10, 0; julian_max(121, 273))",,,https://developers.google.com/earth-engine/datasets/catalog/ECMWF_ERA5_MONTHLY,max temp may-sept average,10 years prior,121-273,0,
ECMWF/ERA5/MONTHLY,maximum_2m_air_temperature,"years_mean(-10, 0; julian_mean(121, 273))",,,https://developers.google.com/earth-engine/datasets/catalog/ECMWF_ERA5_MONTHLY,max temp may-sept average,10 years prior,121-273,0,
ECMWF/ERA5/MONTHLY,maximum_2m_air_temperature,"years_mean(-30, 0; julian_mean(121, 273))",,,https://developers.google.com/earth-engine/datasets/catalog/ECMWF_ERA5_MONTHLY,max temp may-sept average,30 years prior,121-273,0,
ECMWF/ERA5/MONTHLY,maximum_2m_air_temperature," julian_max(121, 273)",,,https://developers.google.com/earth-engine/datasets/catalog/ECMWF_ERA5_MONTHLY,max temp may-sept maximum,0 years prior,121-273,0,
ECMWF/ERA5/MONTHLY,maximum_2m_air_temperature,"julian_max(121, 273)",,,https://developers.google.com/earth-engine/datasets/catalog/ECMWF_ERA5_MONTHLY,max temp may-sept maximum,0 years prior,121-273,0,
ECMWF/ERA5/MONTHLY,maximum_2m_air_temperature,"years_mean(-30, 0; julian_max(121, 273))",,,https://developers.google.com/earth-engine/datasets/catalog/ECMWF_ERA5_MONTHLY,max temp may-sept maximum,30 years prior,121-273,0,
ECMWF/ERA5/MONTHLY,maximum_2m_air_temperature," julian_min(121, 273)",,,https://developers.google.com/earth-engine/datasets/catalog/ECMWF_ERA5_MONTHLY,max temp may-sept minimum,0 years prior,121-273,0,
ECMWF/ERA5/MONTHLY,maximum_2m_air_temperature,"julian_min(121, 273)",,,https://developers.google.com/earth-engine/datasets/catalog/ECMWF_ERA5_MONTHLY,max temp may-sept minimum,0 years prior,121-273,0,
ECMWF/ERA5/MONTHLY,maximum_2m_air_temperature,"years_mean(-10, 0; julian_min(121, 273))",,,https://developers.google.com/earth-engine/datasets/catalog/ECMWF_ERA5_MONTHLY,max temp may-sept minimum,10 years prior,121-273,0,
ECMWF/ERA5/MONTHLY,maximum_2m_air_temperature,"years_mean(-30, 0; julian_min(121, 273))",,,https://developers.google.com/earth-engine/datasets/catalog/ECMWF_ERA5_MONTHLY,max temp may-sept minimum,30 years prior,121-273,0,
ECMWF/ERA5/MONTHLY,mean_2m_air_temperature,"julian_mean(1, 365)",,"May want to be able to specify days before sampling date: seasonal_max([-90,0;])",https://developers.google.com/earth-engine/datasets/catalog/ECMWF_ERA5_MONTHLY,mean temp annual average,0 years prior,1-365,0,
ECMWF/ERA5/MONTHLY,mean_2m_air_temperature,"years_mean(-30, 0; julian_mean(1, 365))",,,https://developers.google.com/earth-engine/datasets/catalog/ECMWF_ERA5_MONTHLY,mean temp annual average,30 years prior,1-365,0,
ECMWF/ERA5/MONTHLY,mean_2m_air_temperature," julian_max(1, 365)",,,https://developers.google.com/earth-engine/datasets/catalog/ECMWF_ERA5_MONTHLY,mean temp annual maximum,0 years prior,1-365,0,
ECMWF/ERA5/MONTHLY,mean_2m_air_temperature,"julian_max(1, 365)",,,https://developers.google.com/earth-engine/datasets/catalog/ECMWF_ERA5_MONTHLY,mean temp annual maximum,0 years prior,1-365,0,
ECMWF/ERA5/MONTHLY,mean_2m_air_temperature,"years_mean(-10, 0; julian_max(1, 365))",,,https://developers.google.com/earth-engine/datasets/catalog/ECMWF_ERA5_MONTHLY,mean temp annual maximum,10 years prior,1-365,0,
ECMWF/ERA5/MONTHLY,mean_2m_air_temperature,"years_mean(-30, 0; julian_max(1, 365))",,,https://developers.google.com/earth-engine/datasets/catalog/ECMWF_ERA5_MONTHLY,mean temp annual maximum,30 years prior,1-365,0,
ECMWF/ERA5/MONTHLY,mean_2m_air_temperature," julian_mean(1, 365)",,,https://developers.google.com/earth-engine/datasets/catalog/ECMWF_ERA5_MONTHLY,mean temp annual minimum,0 years prior,1-365,0,
ECMWF/ERA5/MONTHLY,mean_2m_air_temperature," julian_min(1, 365)",,,https://developers.google.com/earth-engine/datasets/catalog/ECMWF_ERA5_MONTHLY,mean temp annual minimum,0 years prior,1-365,0,
ECMWF/ERA5/MONTHLY,mean_2m_air_temperature,"years_mean(-10, 0; julian_mean(1, 365))",,,https://developers.google.com/earth-engine/datasets/catalog/ECMWF_ERA5_MONTHLY,mean temp annual minimum,10 years prior,1-365,0,
ECMWF/ERA5/MONTHLY,mean_2m_air_temperature,"years_mean(-10, 0; julian_min(1, 365))",,,https://developers.google.com/earth-engine/datasets/catalog/ECMWF_ERA5_MONTHLY,mean temp annual minimum,10 years prior,1-365,0,
ECMWF/ERA5/MONTHLY,mean_2m_air_temperature,"years_mean(-30, 0; julian_min(1, 365))",,,https://developers.google.com/earth-engine/datasets/catalog/ECMWF_ERA5_MONTHLY,mean temp annual minimum,30 years prior,1-365,0,
ECMWF/ERA5/MONTHLY,mean_2m_air_temperature,"julian_min(1, 365)",,,https://developers.google.com/earth-engine/datasets/catalog/ECMWF_ERA5_MONTHLY,mean temp annual minimum ,0 years prior,1-365,0,
ECMWF/ERA5/MONTHLY,mean_2m_air_temperature," julian_mean(121, 273)",,,https://developers.google.com/earth-engine/datasets/catalog/ECMWF_ERA5_MONTHLY,mean temp may-sept average,0 years prior,121-273,0,
ECMWF/ERA5/MONTHLY,mean_2m_air_temperature,"julian_mean(121, 273)",,,https://developers.google.com/earth-engine/datasets/catalog/ECMWF_ERA5_MONTHLY,mean temp may-sept average,0 years prior,121-273,0,
ECMWF/ERA5/MONTHLY,mean_2m_air_temperature,"years_mean(-10, 0; julian_max(121, 273))",,,https://developers.google.com/earth-engine/datasets/catalog/ECMWF_ERA5_MONTHLY,mean temp may-sept average,10 years prior,121-273,0,
ECMWF/ERA5/MONTHLY,mean_2m_air_temperature,"years_mean(-10, 0; julian_mean(121, 273))",,,https://developers.google.com/earth-engine/datasets/catalog/ECMWF_ERA5_MONTHLY,mean temp may-sept average,10 years prior,121-273,0,
ECMWF/ERA5/MONTHLY,mean_2m_air_temperature,"years_mean(-30, 0; julian_mean(121, 273))",,,https://developers.google.com/earth-engine/datasets/catalog/ECMWF_ERA5_MONTHLY,mean temp may-sept average,30 years prior,121-273,0,
ECMWF/ERA5/MONTHLY,mean_2m_air_temperature," julian_max(121, 273)",,,https://developers.google.com/earth-engine/datasets/catalog/ECMWF_ERA5_MONTHLY,mean temp may-sept maximum,0 years prior,121-273,0,
ECMWF/ERA5/MONTHLY,mean_2m_air_temperature,"julian_max(121, 273)",,,https://developers.google.com/earth-engine/datasets/catalog/ECMWF_ERA5_MONTHLY,mean temp may-sept maximum,0 years prior,121-273,0,
ECMWF/ERA5/MONTHLY,mean_2m_air_temperature,"years_mean(-30, 0; julian_max(121, 273))",,,https://developers.google.com/earth-engine/datasets/catalog/ECMWF_ERA5_MONTHLY,mean temp may-sept maximum,30 years prior,121-273,0,
ECMWF/ERA5/MONTHLY,mean_2m_air_temperature," julian_min(121, 273)",,,https://developers.google.com/earth-engine/datasets/catalog/ECMWF_ERA5_MONTHLY,mean temp may-sept minimum,0 years prior,121-273,0,
ECMWF/ERA5/MONTHLY,mean_2m_air_temperature,"julian_min(121, 273)",,,https://developers.google.com/earth-engine/datasets/catalog/ECMWF_ERA5_MONTHLY,mean temp may-sept minimum,0 years prior,121-273,0,
ECMWF/ERA5/MONTHLY,mean_2m_air_temperature,"years_mean(-10, 0; julian_min(121, 273))",,,https://developers.google.com/earth-engine/datasets/catalog/ECMWF_ERA5_MONTHLY,mean temp may-sept minimum,10 years prior,121-273,0,
ECMWF/ERA5/MONTHLY,mean_2m_air_temperature,"years_mean(-30, 0; julian_min(121, 273))",,,https://developers.google.com/earth-engine/datasets/catalog/ECMWF_ERA5_MONTHLY,mean temp may-sept minimum,30 years prior,121-273,0,
ECMWF/ERA5/MONTHLY,minimum_2m_air_temperature,"years_mean(-30, 0; julian_mean(1, 365))",,,https://developers.google.com/earth-engine/datasets/catalog/ECMWF_ERA5_MONTHLY,min temp annual average,30 years prior,1-365,0,
ECMWF/ERA5/MONTHLY,minimum_2m_air_temperature," julian_min(1, 365)",,,https://developers.google.com/earth-engine/datasets/catalog/ECMWF_ERA5_MONTHLY,min temp annual averages of the min temperature (over the whole year) from 10 years prior to study date ,0 years prior,1-365,0,
ECMWF/ERA5/MONTHLY,minimum_2m_air_temperature,"julian_mean(1, 365)",,,https://developers.google.com/earth-engine/datasets/catalog/ECMWF_ERA5_MONTHLY,min temp annual averages of the min temperature (over the whole year) from 10 years prior to study date ,0 years prior,1-365,0,
ECMWF/ERA5/MONTHLY,minimum_2m_air_temperature,"years_mean(-10, 0; julian_min(1, 365))",,,https://developers.google.com/earth-engine/datasets/catalog/ECMWF_ERA5_MONTHLY,min temp annual averages of the min temperature (over the whole year) from 10 years prior to study date ,10 years prior,1-365,0,
ECMWF/ERA5/MONTHLY,minimum_2m_air_temperature,"years_mean(-30, 0; julian_min(1, 365))",,,https://developers.google.com/earth-engine/datasets/catalog/ECMWF_ERA5_MONTHLY,min temp annual averages of the min temperature (over the whole year) from 10 years prior to study date ,30 years prior,1-365,0,
